,Propeller,Motor,thrust_max_volt,thrust_max_power,thrust_max_amps,efficiency_max_volt,efficiency_max_power,efficiency_max_amps,current_max_volt,current_max_power,current_max_amps,Hover_time_3x_total,WeightForce,radius,pitch,Kv,Kt,Voltage,Weight
14815,apc_propellers_14x12N,t_motor_AT4130KV300,136.32,184.8,144.3,94.40999999999998,91.06,93.93,426.9,746.1,473.7,1453.735566,65.0969925,177.8,304.8,322.38238038065623,0.03183098861837907,22.200000000000003,0.002831971458
14866,apc_propellers_14x12N,t_motor_P60KV340,131.88,129.9,124.61999999999999,81.97000000000001,82.08,82.42,456.5400000000001,444.9,410.52000000000004,1630.2572010000001,65.0952301,177.8,304.8,323.48425020174386,0.02808616642798153,22.200000000000003,0.0026519714580000003
14961,apc_propellers_14x13,t_motor_AT4130KV300,147.12,188.7,143.64000000000001,94.13,91.05,94.31,490.67999999999995,769.2,473.7,1332.924315,65.0971069,177.8,330.2,325.5367528096522,0.03183098861837907,22.200000000000003,0.0028434019260000004
14975,apc_propellers_14x13,t_motor_AntigravityMN6007IIKV320,133.92,117.0,107.82,85.33,87.49,88.46,442.32000000000005,329.1,279.18,1647.1869510000001,65.082756,177.8,330.2,325.8392268781861,0.029841551829730376,22.200000000000003,0.0013794019260000001
15012,apc_propellers_14x13,t_motor_P60KV340,141.54,131.4,123.54,81.52999999999999,82.19,82.72000000000001,521.76,461.22,410.52000000000004,1348.972869,65.0953445,177.8,330.2,326.63862263073986,0.02808616642798153,22.200000000000003,0.0026634019260000003
15059,apc_propellers_14x13N,kde_direct_KDE700XF_295_G3,391.8,282.0,199.32,99.63,96.55,99.64,1284.18,1424.64,877.9199999999998,1749.763368,65.1141586,177.8,330.2,327.65407128938926,0.0324,37.0,0.004583401926
15107,apc_propellers_14x13N,t_motor_AT4130KV300,139.44,177.66000000000003,137.28,95.19,91.90999999999998,95.3,483.11999999999995,769.68,473.7,1296.081207,65.0971069,177.8,330.2,328.6911252386482,0.03183098861837907,22.200000000000003,0.0028434019260000004
15121,apc_propellers_14x13N,t_motor_AntigravityMN6007IIKV320,127.2,113.4,105.72000000000001,86.44,88.54,89.49,433.25999999999993,326.1,279.18,1579.639893,65.082756,177.8,330.2,328.9935993071821,0.029841551829730376,22.200000000000003,0.0013794019260000001
15158,apc_propellers_14x13N,t_motor_P60KV340,134.28,125.93999999999998,119.16,82.5,83.10000000000001,83.62,512.7,458.4,410.52000000000004,1554.706788,65.0953445,177.8,330.2,329.79299505973586,0.02808616642798153,22.200000000000003,0.0026634019260000003
15253,apc_propellers_14x13_5,t_motor_AT4130KV300,150.84,185.88,140.16,95.09000000000002,92.14,95.79,532.74,785.7,473.7,1547.4439079999997,65.0971756,177.8,342.9,331.8454976676442,0.03183098861837907,22.200000000000003,0.002850205776
15267,apc_propellers_14x13_5,t_motor_AntigravityMN6007IIKV320,136.44,115.97999999999999,105.96,85.90999999999998,88.69,89.86,475.8,335.82000000000005,279.18,1554.565431,65.0828247,177.8,342.9,332.1479717361781,0.029841551829730376,22.200000000000003,0.001386205776
15269,apc_propellers_14x13_5,t_motor_AntigravityMN6007KV320,134.52,110.52000000000001,98.93999999999998,84.88,87.90999999999998,89.06,467.22,309.42,246.3,1708.3549799999998,65.0839462,177.8,342.9,332.19118231739725,0.029841551829730376,22.200000000000003,0.0015002057759999998
15399,apc_propellers_14x14,t_motor_AT4130KV300,152.22,181.02000000000004,135.78,95.2,92.40999999999998,96.39,570.3,800.1600000000001,473.7,1671.7805789999998,65.0970535,177.8,355.6,334.9998700966402,0.03183098861837907,22.200000000000003,0.0028382310000000005
15545,apc_propellers_14x14E,t_motor_AT4130KV300,117.96,158.46,127.38000000000001,99.55,95.64999999999999,98.74,398.0400000000001,742.68,473.7,1714.6856699999998,65.0951767,177.8,355.6,338.1542425256362,0.03183098861837907,22.200000000000003,0.002646090276000001
15559,apc_propellers_14x14E,t_motor_AntigravityMN6007IIKV320,111.36,105.3,100.61999999999999,91.23,92.21,92.81,360.24,310.02000000000004,279.18,1558.0557870000002,65.0808258,177.8,355.6,338.45671659417013,0.029841551829730376,22.200000000000003,0.001182090276
15561,apc_propellers_14x14E,t_motor_AntigravityMN6007KV320,110.46,101.76000000000002,95.64,90.09000000000002,91.35000000000001,91.97000000000001,354.84,285.06,246.3,1894.4739990000003,65.0819397,177.8,355.6,338.49992717538925,0.029841551829730376,22.200000000000003,0.0012960902759999997
15691,apc_propellers_14x14N,t_motor_AT4130KV300,146.22,173.1,131.7,97.11,94.14999999999999,98.27999999999999,564.6,800.28,473.7,1181.208069,65.0971069,177.8,355.6,341.3086149546323,0.03183098861837907,22.200000000000003,0.0028434019260000004
15705,apc_propellers_14x14N,t_motor_AntigravityMN6007IIKV320,131.82,111.96,102.96,87.64,91.01,92.34000000000002,497.4,338.58,279.18,1582.122069,65.082756,177.8,355.6,341.61108902316613,0.029841551829730376,22.200000000000003,0.0013794019260000001
15848,apc_propellers_14x4W,t_motor_AntigravityMN5008KV340,128.94,200.7,254.82,91.99,92.8,92.8,109.32,171.23999999999998,221.04000000000002,3663.5368799999997,65.0804825,177.8,101.6,344.70064558033346,0.02808616642798153,22.200000000000003,0.0011469266520000001
15849,apc_propellers_14x4W,t_motor_AntigravityMN5008KV400,128.16,187.73999999999998,220.5,77.77999999999999,78.44,78.51,128.16,186.78,221.04000000000002,3093.72657,65.080307,177.8,101.6,344.722250870943,0.0238732414637843,22.200000000000003,0.0011289266520000001
15851,apc_propellers_14x4W,t_motor_AntigravityMN6007IIKV320,130.98,255.0,328.92,97.67,99.26,99.17,105.41999999999999,208.8,279.18,3818.88795,65.0820084,177.8,101.6,344.7654614521621,0.029841551829730376,22.200000000000003,0.001302926652
15853,apc_propellers_14x4W,t_motor_AntigravityMN6007KV320,130.26000000000002,238.2,295.2,95.10000000000001,97.63,97.92,107.4,194.94000000000003,246.3,3648.28455,65.0831299,177.8,101.6,344.80867203338124,0.029841551829730376,22.200000000000003,0.0014169266519999998
15888,apc_propellers_14x4W,t_motor_P60KV340,133.26000000000002,311.4,412.97999999999996,88.2,92.69,92.93,119.76000000000002,283.74,410.52000000000004,3266.06946,65.0945969,177.8,101.6,345.5648572047159,0.02808616642798153,22.200000000000003,0.002586926652
15929,apc_propellers_14x4_7SF,kde_direct_KDE5215XF_330,83.94,353.88,375.24,95.46,95.22000000000001,95.0,87.78,366.66,391.56,3130.7435399999995,65.0918732,177.8,119.38,346.4506741197079,0.0289,14.8,0.0023096846999999996
15994,apc_propellers_14x4_7SF,t_motor_AntigravityMN5008KV340,179.58,198.72,213.78,91.92,91.85000000000001,91.77999999999999,187.2,205.55999999999997,221.04000000000002,2992.26123,65.0786438,177.8,119.38,347.85501800932946,0.02808616642798153,22.200000000000003,0.0009596847000000001
